id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD032311,CLI04637,P008,2022-10-28,3,1299,en_cours,Tanger,Cash à la livraison,LIV003,2022-10-31
CMD010235,CLI01782,P026,Apr 03 2023,1,1499,annulé,fès,Cash à la livraison,LIV003,2023-04-13
CMD022405,CLI00987,P005,2023-11-11,5,2799,DONE,meknes,Western Union,LIV015,2023-11-12
CMD006397,CLI01900,P012,May 18 2023,2,7999,en_cours,Oujda,Google Pay,LIV001,2023-05-27
CMD003992,CLI02676,P017,03/05/2024,1,2199,livré,Agadir,Carte bancaire,LIV002,2024-05-10
CMD025831,CLI02980,P015,16/12/2022,1,14999,livre,Marrakech,Cash à la livraison,LIV008,2022-12-25
CMD012790,CLI00185,P008,Jan 07 2023,1,1299,LIVRE,Casablanca,PayPal,LIV010,2023-01-16
CMD049516,CLI04750,P005,Sep 18 2023,1,2799,LIVRE,Tanger,Virement bancaire,LIV003,2023-09-23
CMD021322,CLI04055,P043,Mar 07 2023,2,59,livré,tangier,Cash à la livraison,LIV015,2023-03-13
CMD005241,CLI04746,P022,2024-07-08,1,349,LIVRE,tanja,Western Union,LIV015,2024-07-17
CMD022716,CLI04031,P022,17/10/2024,1,349,livre,dar beida,Apple Pay,LIV001,2024-10-23
CMD046503,CLI00882,P001,Aug 30 2024,3,12999,livre,Fès,Cash à la livraison,LIV006,2024-09-08
CMD046772,CLI00697,P019,2024-06-12,2,0,livre,Tanger,Wafacash,LIV015,2024-06-18
CMD007945,CLI01803,P050,15/11/2023,1,22,livre,tangier,Virement bancaire,LIV014,2023-11-22
CMD030995,CLI02079,P049,28/05/2023,2,79,en_cours,Tanger,Cash à la livraison,LIV001,2023-06-05
CMD010210,CLI00080,P050,2024-08-26,1,22,DONE,tanja,Carte bancaire,LIV007,2024-09-03
CMD032218,CLI00896,P032,17/08/2023,-1,1299,livré,Rabat,Google Pay,LIV010,2023-08-24
CMD022568,CLI03457,P015,06/10/2023,1,14999,LIVRE,Rabat,Virement bancaire,LIV001,2023-10-10
CMD044859,CLI01120,P020,2022-12-03,1,2899,livré,Meknès,Wafacash,LIV001,2022-12-12
CMD011967,CLI04170,P016,12/03/2022,2,4299,livre,Rabat,Carte bancaire,LIV009,2022-03-17
CMD037836,CLI04318,P009,30/04/2024,1,13999,LIVRE,TANGER,Google Pay,LIV008,2024-05-01
CMD004167,CLI02363,P031,2022-09-16,1,349,LIVRE,Fès,Virement bancaire,LIV009,2022-09-21
CMD031799,CLI04901,P006,12/11/2023,1,3499,DONE,fes,Apple Pay,LIV003,2023-11-21
CMD049370,CLI02710,P018,Jul 19 2022,1,1799,livre,Fès,Cash à la livraison,LIV003,2022-07-21
CMD008711,CLI04005,P012,14/10/2023,3,7999,LIVRE,Tanger,Carte bancaire,LIV007,2023-10-24
CMD006259,CLI04021,P038,Aug 15 2022,1,299,LIVRE,Fès,PayPal,LIV006,2022-08-22
CMD016085,CLI00120,P013,05/03/2022,2,5499,livre,Marrakech,Carte bancaire,LIV012,2022-03-12
CMD026569,CLI03461,P025,Jan 06 2022,1,499,annulé,Casablanca,Virement bancaire,LIV013,2022-01-13
CMD004484,CLI03641,P019,31/10/2024,-2,1299,LIVRE,Fès,Wafacash,LIV005,2024-11-08
CMD031002,CLI04197,P028,15/12/2023,1,599,retourne,Tanger,Google Pay,LIV012,2023-12-23
CMD033866,CLI00820,P013,Jan 07 2024,1,5499,retourné,Casablanca,Cash à la livraison,LIV004,2024-01-13
CMD041966,CLI04827,P003,2022-05-27,1,11999,retourné,TANGER,Western Union,LIV006,2022-05-31
CMD032521,CLI01841,P035,15/06/2024,1,699,LIVRE,Tanger,PayPal,LIV015,2024-06-18
CMD006823,CLI01317,P006,2022-06-01,1,3499,annule,Agadir,Apple Pay,LIV013,2022-06-10
CMD031251,CLI03814,P040,2024-11-16,1,149,livre,Tétouan,PayPal,,2024-11-26
CMD023682,CLI00148,P013,19/07/2024,1,5499,livré,Tanger,Virement bancaire,LIV005,2024-07-26
CMD038398,CLI01966,P019,Dec 03 2023,1,1299,retourné,Taza,Cash à la livraison,LIV013,2023-12-05
CMD007108,CLI04221,P007,28/05/2024,3,2299,en_cours,Tanger,Apple Pay,LIV005,2024-06-02
CMD034906,CLI03382,P036,2023-06-16,3,899,livre,Rabat,Google Pay,LIV005,2023-06-25
CMD011733,CLI04957,P025,30/12/2023,1,499,LIVRE,Casablanca,Apple Pay,LIV014,2024-01-01
CMD022054,CLI01273,P036,15/04/2023,1,899,DONE,Rabat,Wafacash,LIV015,2023-04-20
CMD040770,CLI01245,P003,2024-01-23,1,0,livre,OUJDA,Virement bancaire,LIV010,2024-01-28
CMD022577,CLI01364,P038,May 18 2023,3,299,LIVRE,Casablanca,Wafacash,LIV001,2023-05-25
CMD044449,CLI00665,P011,2024-12-19,3,5999,DONE,Rabat,Western Union,LIV013,2024-12-27
CMD037199,CLI04391,P009,2024-12-04,1,13999,LIVRE,El Jadida,Carte bancaire,LIV013,2024-12-07
CMD023622,CLI01554,P045,08/04/2024,0,49,livré,Casablanca,Carte bancaire,LIV001,2024-04-14
CMD027259,CLI00112,P001,Sep 29 2023,1,12999,livre,Fès,Carte bancaire,LIV014,2023-10-01
CMD019757,CLI04093,P025,05/05/2022,1,499,livré,Tanger,Western Union,LIV013,2022-05-15
CMD008165,CLI00949,P012,Jan 13 2024,2,7999,livre,Marrakech,PayPal,LIV014,2024-01-22
CMD044512,CLI03145,P021,28/09/2023,2,799,livre,tanger,Western Union,LIV010,2023-10-08
CMD014870,CLI04274,P021,15/12/2024,4,799,KO,Agadir,Carte bancaire,LIV002,2024-12-22
CMD000702,CLI02758,P018,04/11/2023,2,1799,LIVRE,tanger,Carte bancaire,LIV008,2023-11-06
CMD038677,CLI03632,P015,Aug 23 2023,1,14999,livre,Tanger,Cash à la livraison,LIV012,2023-08-27
CMD030350,CLI00773,P023,2022-12-27,2,1299,retourne,Tanger,Wafacash,,2022-12-30
CMD029400,CLI00464,P040,2024-04-14,1,149,LIVRE,Rabat,Western Union,LIV005,2024-04-21
CMD031651,CLI00424,P002,09/03/2023,1,9499,en_cours,Tétouan,Cash à la livraison,LIV002,2023-03-16
CMD043051,CLI04688,P005,21/05/2024,3,2799,annule,Tanger,Apple Pay,LIV009,2024-05-30
CMD026499,CLI00491,P013,18/09/2024,1,5499,retourné,Casablanca,Carte bancaire,LIV012,2024-09-25
CMD045125,CLI01393,P030,2023-05-23,1,899,DONE,Tanger,Western Union,LIV003,2023-06-02
CMD038204,CLI02746,P037,2023-11-17,1,249,LIVRE,Marrakech,Carte bancaire,LIV007,2023-11-26
CMD008363,CLI04521,P011,2022-11-27,1,5999,livre,Fès,Apple Pay,LIV015,2022-12-04
CMD004488,CLI01161,P049,30/05/2022,2,79,livré,Marrakech,Virement bancaire,LIV014,2022-06-06
CMD021211,CLI00116,P003,Feb 27 2022,1,11999,LIVRE,Tétouan,Western Union,,2022-03-07
CMD022767,CLI00745,P036,23/05/2022,1,899,livré,OUJDA,Apple Pay,LIV004,2022-05-26
CMD048654,CLI02101,P019,Jan 11 2023,1,1299,DONE,casa,Carte bancaire,LIV005,2023-01-13
CMD003551,CLI04210,P011,2024-11-23,1,5999,OK,Tanger,PayPal,LIV002,2024-12-01
CMD016393,CLI01602,P018,2023-02-15,1,1799,LIVRE,Agadir,Google Pay,LIV014,2023-02-23
CMD012088,CLI00819,P013,27/12/2022,2,0,retourné,Taza,Google Pay,LIV004,2023-01-01
CMD024192,CLI03715,P023,2023-11-16,1,1299,en_cours,Tanger,Cash à la livraison,LIV011,2023-11-20
CMD030978,CLI00585,P033,2022-12-23,1,1499,LIVRE,Tanger,PayPal,LIV011,2022-12-29
CMD012005,CLI03979,P035,Feb 01 2024,1,699,annulé,Casablanca,Google Pay,LIV009,2024-02-05
CMD039940,CLI03412,P006,2024-01-16,3,3499,livre,Meknès,Google Pay,LIV006,2024-01-21
CMD021802,CLI00494,P014,2024-05-06,2,8999,livré,Casablanca,Carte bancaire,LIV009,2024-05-07
CMD041564,CLI01037,P003,Jul 08 2024,4,11999,livré,Casablanca,Virement bancaire,LIV005,2024-07-11
CMD042543,CLI02287,P036,Jan 28 2023,1,899,DONE,Casablanca,Western Union,LIV013,2023-02-01
CMD027254,CLI04428,P007,2024-10-09,1,2299,annulé,tanger,Virement bancaire,LIV009,2024-10-19
CMD009454,CLI03639,P011,09/03/2024,2,5999,livre,Fès,Wafacash,LIV013,2024-03-10
CMD006137,CLI03325,P004,22/08/2023,1,3999,LIVRE,Marrakech,Google Pay,LIV014,2023-08-31
CMD010972,CLI01632,P020,2024-01-30,2,2899,en_cours,Agadir,Apple Pay,LIV011,2024-02-06
CMD039470,CLI01166,P021,Mar 23 2022,1,799,LIVRE,Casablanca,Apple Pay,LIV014,2022-03-27
CMD045953,CLI02726,P019,17/11/2024,1,1299,annulé,Tanger,Apple Pay,,2024-11-22
CMD003764,CLI02411,P032,2022-09-26,1,1299,OK,El Jadida,Cash à la livraison,LIV004,2022-09-28
CMD044644,CLI00935,P011,Aug 14 2023,2,5999,DONE,Casablanca,Wafacash,LIV010,2023-08-15
CMD049381,CLI03054,P024,Jan 03 2023,3,799,livre,kenitra,Western Union,LIV011,2023-01-10
CMD022285,CLI04006,P033,05/02/2024,1,1499,livré,Rabat,Cash à la livraison,LIV001,2024-02-12
CMD031248,CLI01236,P006,2022-01-28,2,3499,livre,Fès,Google Pay,LIV002,2022-01-30
CMD041375,CLI00237,P034,19/12/2023,1,599,livre,Tnja,Wafacash,LIV009,2023-12-23
CMD020626,CLI01895,P007,10/08/2022,2,2299,livre,Marrakech,PayPal,LIV011,2022-08-16
CMD025000,CLI01375,P005,2023-05-10,1,2799,livré,tetouan,Google Pay,LIV015,2023-05-18
CMD044006,CLI01447,P020,2024-06-22,1,2899,LIVRE,Casablanca,Wafacash,LIV014,2024-06-23
CMD043604,CLI03207,P006,30/10/2023,2,3499,en_cours,Tétouan,Cash à la livraison,LIV015,2023-11-01
CMD014051,CLI01143,P025,06/09/2024,1,499,annule,Casablanca,Google Pay,,2024-09-07
CMD023900,CLI02609,P015,May 14 2024,1,14999,en_cours,Meknès,Virement bancaire,LIV011,2024-05-15
CMD045315,CLI02436,P018,Oct 17 2024,3,0,LIVRE,Rabat,Apple Pay,LIV001,2024-10-20
CMD049172,CLI01153,P007,2022-02-12,1,2299,DONE,Béni Mellal,Virement bancaire,LIV006,2022-02-22
CMD018572,CLI04617,P046,12/11/2024,2,35,DONE,Casablanca,Western Union,LIV012,2024-11-14
CMD039225,CLI04034,P001,Nov 09 2023,1,12999,livre,Tanger,Virement bancaire,,2023-11-14
CMD039303,CLI00007,P035,Sep 05 2022,1,699,livré,Tanger,Google Pay,LIV014,2022-09-10
CMD030167,CLI04355,P011,2022-08-25,1,5999,DONE,Tanger,Virement bancaire,LIV014,2022-09-01
CMD033264,CLI03766,P027,Mar 19 2024,2,699,LIVRE,marrakesh,Wafacash,LIV005,2024-03-25
CMD004862,CLI02141,P010,14/06/2024,1,6499,LIVRE,Agadir,Carte bancaire,LIV012,2024-06-16
CMD031079,CLI03736,P047,Jan 19 2024,0,29,livre,Casablanca,Virement bancaire,LIV006,2024-01-23
CMD001076,CLI01065,P004,2023-09-16,3,3999,livré,Tanger,Carte bancaire,LIV002,2023-09-23
CMD010335,CLI02003,P010,2022-08-04,5,6499,livre,Tanger,Western Union,LIV012,2022-08-08
CMD042010,CLI04510,P042,2024-01-05,1,129,livré,El Jadida,Wafacash,LIV013,2024-01-08
CMD003599,CLI00044,P012,Apr 19 2023,1,7999,livré,Tanger,PayPal,LIV003,2023-04-24
CMD015489,CLI02901,P012,2022-01-28,1,7999,livré,Tanger,Google Pay,LIV012,2022-02-01
CMD028444,CLI00719,P010,Aug 29 2022,2,6499,OK,Kenitra,Cash à la livraison,LIV011,2022-09-08
CMD025835,CLI00493,P008,Dec 22 2022,3,1299,DONE,Tanger,Google Pay,LIV007,2022-12-27
CMD044529,CLI04194,P021,2024-06-08,1,799,LIVRE,Tanger,Cash à la livraison,LIV002,2024-06-16
CMD039711,CLI03300,P025,Apr 04 2023,0,499,retourné,Marrakech,Western Union,LIV012,2023-04-09
CMD048156,CLI02196,P018,17/03/2022,1,1799,DONE,Casablanca,Virement bancaire,LIV003,2022-03-24
CMD010046,CLI01778,P013,Jul 25 2024,1,5499,OK,Casablanca,Wafacash,LIV014,2024-07-27
CMD028149,CLI03690,P009,14/08/2023,3,13999,livre,Tanger,PayPal,LIV002,2023-08-16
CMD018754,CLI04854,P001,2023-03-29,1,12999,LIVRE,Casablanca,Western Union,LIV004,2023-04-05
CMD040069,CLI02509,P010,2023-07-07,2,6499,LIVRE,Tanger,PayPal,LIV002,2023-07-09
CMD044821,CLI02475,P014,Oct 12 2024,1,8999,DONE,tanja,Wafacash,,2024-10-14
CMD037585,CLI03730,P037,02/01/2023,1,249,KO,Casablanca,Cash à la livraison,LIV008,2023-01-05
CMD027507,CLI02729,P015,18/07/2023,4,14999,livré,Casablanca,PayPal,LIV006,2023-07-23
CMD008431,CLI01695,P030,Jun 28 2023,1,899,annule,Casablanca,PayPal,LIV009,2023-06-29
CMD030440,CLI01687,P032,2024-04-21,2,1299,OK,meknes,Virement bancaire,LIV015,2024-04-22
CMD027968,CLI04751,P016,Nov 07 2024,4,4299,DONE,Rabat,Western Union,LIV012,2024-11-13
CMD013775,CLI04356,P003,03/07/2023,1,11999,LIVRE,tetouan,Western Union,LIV009,2023-07-13
CMD014006,CLI00955,P014,10/12/2023,1,8999,LIVRE,Casablanca,Carte bancaire,LIV001,2023-12-16
CMD005657,CLI03873,P013,2022-11-22,1,5499,KO,Rabat,Google Pay,LIV008,2022-11-26
CMD007525,CLI00979,P021,Nov 15 2022,1,799,en_cours,Nador,PayPal,LIV006,2022-11-16
CMD043981,CLI02019,P003,Jun 04 2022,1,11999,KO,Fès,Carte bancaire,LIV003,2022-06-05
CMD042997,CLI00861,P012,2024-07-05,1,7999,livre,Tétouan,Carte bancaire,LIV002,2024-07-13
CMD027922,CLI00337,P012,Jan 07 2022,1,7999,OK,TANGER,Wafacash,LIV004,2022-01-16
CMD035318,CLI00651,P006,Dec 23 2022,1,3499,retourné,Casablanca,Google Pay,LIV011,2022-12-26
CMD010289,CLI04743,P024,08/11/2022,1,799,DONE,Taza,Wafacash,LIV005,2022-11-18
CMD007645,CLI04092,P031,2023-06-21,2,349,DONE,Tanger,Western Union,LIV012,2023-06-22
CMD031789,CLI02813,P001,09/04/2023,3,12999,annule,Tanger,Western Union,,2023-04-17
CMD044616,CLI02915,P008,2022-12-13,3,1299,LIVRE,Casablanca,Apple Pay,LIV007,2022-12-20
CMD005143,CLI04261,P015,Jan 15 2024,2,14999,OK,Tanger,Virement bancaire,LIV002,2024-01-17
CMD006936,CLI03736,P035,2023-11-01,1,699,DONE,Taza,PayPal,LIV001,2023-11-05
CMD044153,CLI01641,P016,21/02/2024,4,4299,retourne,Tnja,Google Pay,LIV001,2024-03-02
CMD046410,CLI03172,P007,23/01/2024,1,2299,DONE,RABAT,Cash à la livraison,LIV015,2024-01-26
CMD004715,CLI00335,P024,2024-01-16,1,799,livre,Tanger,Carte bancaire,LIV004,2024-01-20
CMD029307,CLI02920,P017,21/09/2024,1,2199,livré,Nador,Apple Pay,,2024-09-28
CMD022937,CLI02194,P033,Mar 20 2022,1,1499,retourne,TANGER,Google Pay,LIV009,2022-03-25
CMD014472,CLI02994,P012,Nov 10 2022,1,7999,livré,Casablanca,Virement bancaire,LIV003,2022-11-20
CMD046998,CLI04142,P005,11/10/2024,1,2799,LIVRE,Fès,Apple Pay,LIV009,2024-10-19
CMD022844,CLI01534,P034,May 20 2024,1,599,retourné,Tanger,PayPal,LIV010,2024-05-24
CMD011071,CLI04410,P017,2022-12-09,1,2199,DONE,Tanger,Virement bancaire,LIV015,2022-12-12
CMD018390,CLI02460,P014,2023-06-28,-1,8999,LIVRE,Tanger,Cash à la livraison,LIV010,2023-07-07
CMD017578,CLI02168,P005,Jul 05 2023,1,2799,livré,Tanger,Google Pay,LIV009,2023-07-14
CMD017339,CLI01039,P038,22/03/2023,3,299,retourne,Casablanca,Virement bancaire,LIV002,2023-04-01
CMD011638,CLI04343,P013,Oct 30 2022,1,5499,livré,tanja,Google Pay,LIV013,2022-11-02
CMD028558,CLI04143,P036,2023-02-27,3,899,livre,tanja,PayPal,LIV005,2023-03-04
CMD041643,CLI03440,P002,2023-01-16,1,9499,LIVRE,Casablanca,Cash à la livraison,LIV013,2023-01-22
CMD036634,CLI03356,P010,2024-11-05,1,6499,LIVRE,Rabat,Western Union,LIV012,2024-11-09
CMD001800,CLI02023,P003,19/10/2024,1,11999,LIVRE,Casablanca,Wafacash,LIV006,2024-10-23
CMD018553,CLI02531,P004,2024-11-10,2,3999,livre,Tanger,Virement bancaire,LIV014,2024-11-17
CMD006685,CLI01721,P019,2023-07-11,2,1299,livré,Casablanca,Wafacash,LIV007,2023-07-20
CMD047110,CLI03871,P025,2022-01-20,1,499,annulé,Meknès,Apple Pay,LIV015,2022-01-24
CMD026154,CLI00869,P012,Nov 08 2022,1,7999,annule,Tanger,Western Union,LIV011,2022-11-10
CMD018614,CLI03417,P026,09/12/2024,1,1499,LIVRE,mkch,Cash à la livraison,,2024-12-16
CMD008765,CLI04309,P003,2023-11-11,1,11999,LIVRE,Fès,Virement bancaire,LIV002,2023-11-16
CMD019616,CLI00579,P014,09/08/2023,1,8999,KO,Tanger,Carte bancaire,LIV014,2023-08-19
CMD013090,CLI02260,P038,Nov 29 2022,3,299,LIVRE,Marrakech,Wafacash,LIV007,2022-12-06
CMD003290,CLI01149,P019,2024-02-22,4,1299,livré,Rabat,Carte bancaire,LIV013,2024-03-03
CMD033957,CLI01835,P011,2024-06-01,1,5999,LIVRE,Marrakech,Apple Pay,LIV004,2024-06-09
CMD037780,CLI02671,P015,30/01/2023,2,14999,OK,Fès,Cash à la livraison,LIV003,2023-02-06
CMD014574,CLI00948,P043,15/08/2024,1,59,DONE,Casablanca,Western Union,LIV004,2024-08-20
CMD012962,CLI03332,P033,22/09/2024,1,1499,DONE,Tanger,Carte bancaire,LIV010,2024-09-23
CMD039184,CLI00563,P009,Dec 11 2023,1,13999,LIVRE,Agadir,Carte bancaire,LIV007,2023-12-16
CMD040599,CLI04746,P013,16/12/2022,1,5499,LIVRE,Fès,Apple Pay,LIV005,2022-12-17
CMD011949,CLI01668,P025,14/01/2022,2,499,LIVRE,Tanger,Virement bancaire,LIV002,2022-01-15
CMD021466,CLI02653,P017,19/06/2022,3,2199,livré,Béni Mellal,PayPal,LIV012,2022-06-20
CMD035650,CLI02326,P008,Jul 10 2023,1,1299,DONE,Tétouan,Google Pay,LIV008,2023-07-19
CMD043857,CLI01114,P005,03/02/2024,2,2799,livre,Rabat,Carte bancaire,LIV003,2024-02-09
CMD038262,CLI04246,P006,23/01/2024,3,3499,LIVRE,Meknès,PayPal,LIV012,2024-01-24
CMD007293,CLI04694,P024,Feb 26 2024,1,799,retourne,Rabat,Carte bancaire,LIV005,2024-03-06
CMD026304,CLI01717,P014,Dec 17 2023,-1,8999,retourné,casa,PayPal,LIV009,2023-12-26
CMD032565,CLI00446,P040,Aug 25 2022,1,149,annule,TANGER,PayPal,,2022-09-02
CMD040937,CLI00004,P046,Mar 18 2023,2,35,livré,casablanca,Carte bancaire,LIV012,2023-03-22
CMD028873,CLI04094,P050,2022-05-05,1,22,DONE,Tanger,Wafacash,LIV009,2022-05-11
CMD046310,CLI01466,P006,2022-02-10,1,3499,en_cours,Tanger,Apple Pay,LIV014,2022-02-17
CMD043901,CLI01003,P030,05/09/2024,2,899,livré,Casablanca,Wafacash,LIV003,2024-09-10
CMD023183,CLI03929,P028,Feb 07 2023,2,599,DONE,Tanger,Western Union,LIV007,2023-02-14
CMD031307,CLI04685,P028,23/12/2022,1,599,DONE,Fès,Virement bancaire,LIV005,2023-01-02
CMD034839,CLI04560,P005,06/06/2024,1,2799,livre,tanger,Wafacash,LIV010,2024-06-07
CMD004970,CLI03141,P017,09/06/2023,1,2199,KO,tng,Cash à la livraison,LIV011,2023-06-13
CMD039047,CLI01789,P007,Jun 16 2023,1,2299,DONE,FES,Google Pay,LIV012,2023-06-18
CMD006449,CLI04038,P026,09/10/2022,4,1499,annulé,Agadir,PayPal,LIV006,2022-10-12
CMD015426,CLI03483,P019,2023-11-09,1,1299,livre,Tétouan,Google Pay,LIV003,2023-11-16
CMD005280,CLI03917,P003,Sep 27 2023,3,11999,livre,Fès,Western Union,,2023-10-01
CMD045639,CLI01491,P005,Oct 21 2023,1,2799,en_cours,Marrakech,Cash à la livraison,LIV007,2023-10-27
CMD023460,CLI00047,P011,2024-01-25,2,5999,livre,Casablanca,Virement bancaire,LIV001,2024-02-01
CMD007531,CLI04265,P031,Oct 17 2022,2,349,livré,Marrakech,Virement bancaire,LIV008,2022-10-27
CMD045089,CLI01884,P007,29/12/2022,4,2299,KO,Casablanca,Carte bancaire,LIV009,2023-01-07
CMD024699,CLI00449,P017,Oct 11 2022,3,2199,livré,Oujda,Cash à la livraison,LIV014,2022-10-16
CMD026057,CLI01144,P006,Mar 02 2024,1,3499,annulé,Casablanca,Western Union,LIV005,2024-03-09
CMD030874,CLI02405,P037,Aug 14 2023,3,249,en_cours,Tanger,Cash à la livraison,,2023-08-18
CMD009972,CLI02171,P015,Jan 06 2022,2,14999,DONE,Rabat,Carte bancaire,LIV009,2022-01-10
CMD005423,CLI01997,P008,Jan 27 2023,-2,1299,DONE,Casablanca,Apple Pay,LIV006,2023-01-29
